ticker,name,breakout_date,high_52w,breakout_price,market_type,market_cap,breakout_pct,volume_surge,close_strength,base_length,volatility_contraction,volume_dry_up,ma200_slope,pct_above_52w_low,rs_vs_market,market_return,ma20_deviation,liquidity,days_since_ath,atr_ratio,max_gain_20d,max_drawdown_20d,gain_at_day_20,label,market_regime,market_ma200_dist
136540,윈스테크넷,2024-11-05,14720,15120,KOSDAQ,1325,2.7174,70.4105,0.3571,88,0.9741,8.3989,0.003323,26.5272,23.0758,-3.7387,0.1929,1961041020.0,944,0.024376,-0.07,-16.67,-16.67,0,0,-8.7034
18120,진로발효,2024-11-05,17920,17940,KOSDAQ,1143,0.1116,0.8008,0.7143,14,0.272,0.5315,0.011026,25.8065,10.3975,-3.7387,0.0168,20190848.0,844,0.011387,2.17,-6.02,-6.02,0,0,-8.7034
376300,디어유,2024-11-05,38000,39200,KOSDAQ,8427,3.1579,11.3596,0.8641,170,0.4415,4.7632,-0.020287,115.1482,96.8422,-3.7387,0.4665,25236031930.0,727,0.062864,1.79,-10.33,-10.33,0,0,-8.7034
30190,NICE평가정보,2024-11-05,11550,11950,KOSPI,9762,3.4632,2.6556,1.0,117,0.6419,0.8782,0.016302,48.6318,13.4899,-1.2833,0.0724,932313892.0,824,0.02887,1.76,-12.72,-0.17,0,0,-3.293
175330,JB금융지주,2024-11-06,18290,18480,KOSPI,48231,1.0388,0.8836,0.7882,8,0.4136,1.0113,0.049566,83.5154,18.8212,-1.1891,0.0661,8995255070.0,8,0.030651,10.66,-3.79,6.06,1,0,-3.7987
310210,보로노이,2024-11-06,117100,118000,KOSDAQ,39270,0.7686,0.5328,0.4815,12,0.9214,0.869,0.122224,302.7304,17.299,-4.4883,0.0701,25214126840.0,12,0.068402,4.83,-37.2,-31.36,0,0,-9.6631
41440,현대에버다임,2024-11-06,9890,9900,KOSDAQ,1471,0.1011,11.8348,0.8966,64,0.9326,3.3588,0.027977,68.6542,38.0916,-4.4883,0.2071,48138951710.0,486,0.077994,2.93,-16.16,-16.16,0,0,-9.6631
79550,LIG넥스원,2024-11-07,265000,269000,KOSPI,99880,1.5094,1.8312,0.9231,12,1.0,0.8748,0.07045,208.8404,13.4118,-1.3285,0.0746,65940294800.0,12,0.045539,-1.12,-27.92,-27.92,0,0,-3.761
12450,한화에어로스페이스,2024-11-07,386989,398805,KOSPI,637324,3.0533,2.2908,0.9688,15,0.9541,1.2763,0.107863,287.6259,16.8776,-1.3285,0.0737,200916000000.0,15,0.041799,2.72,-23.95,-23.95,0,0,-3.761
361390,제노코,2024-11-07,18670,22100,KOSDAQ,2394,18.3717,23.9586,1.0,193,0.667,4.5849,-0.010405,94.8854,72.4554,-5.4108,0.4255,4053610144.0,722,0.046283,-2.26,-36.2,-36.2,0,0,-10.7721
259960,크래프톤,2024-11-07,349000,351000,KOSPI,118036,0.5731,1.738,0.875,47,0.9821,0.9332,0.053367,116.6667,9.4949,-1.3285,0.0336,44162915200.0,730,0.033069,-6.41,-17.52,-9.83,0,0,-3.761
272210,한화시스템,2024-11-08,22250,23200,KOSPI,176451,4.2697,5.9945,0.9778,70,0.9983,2.4754,0.009266,82.6772,30.7691,-1.377,0.2194,140088000000.0,70,0.044766,28.66,-8.84,-8.84,1,0,-3.8981
35000,HS애드,2024-11-08,6500,6540,KOSPI,1319,0.6154,1.1654,1.0,117,0.6842,0.7505,0.002576,10.6599,3.0878,-1.377,0.0177,40027098.0,674,0.01114,-0.31,-3.52,-2.75,0,0,-3.8981
2960,한국쉘석유,2024-11-08,348000,350000,KOSPI,5596,0.5747,2.8149,0.8571,64,0.7246,1.2334,0.033349,56.5996,10.5814,-1.377,0.0713,1114199400.0,64,0.015408,-0.43,-5.57,-5.0,0,0,-3.8981
255220,SG,2024-11-08,3520,3635,KOSDAQ,2786,3.267,4.1095,0.6719,65,1.0,2.3723,0.075453,272.4385,30.6778,-3.5799,0.2403,108777000000.0,65,0.100806,3.03,-26.13,-26.13,0,0,-9.5041
17800,현대엘리베이터,2024-11-08,48650,50800,KOSPI,36708,4.4193,7.7368,0.7802,239,0.809,2.0459,0.004686,34.5695,17.0946,-1.377,0.1159,9558693560.0,843,0.031426,5.91,-5.31,1.77,0,0,-3.8981
38390,레드캡투어,2024-11-08,8420,8575,KOSDAQ,2078,1.8409,18.4582,0.6093,111,0.9122,5.9835,0.001832,20.098,11.5773,-3.5799,0.08,1872013708.0,845,0.029071,7.99,-1.63,6.47,0,0,-9.5041
42660,한화오션,2024-11-08,34750,36200,KOSPI,410594,4.1727,12.1338,0.4333,132,0.9565,2.8064,0.017573,69.1589,18.719,-1.377,0.2104,225513000000.0,309,0.046073,8.29,-11.88,-11.88,0,0,-3.8981
453340,현대그린푸드,2024-11-08,13080,13090,KOSPI,4913,0.0765,4.9976,0.8113,97,0.8235,2.5686,0.004944,18.0343,12.592,-1.377,0.1006,2154017446.0,363,0.020736,6.95,-1.83,6.11,0,0,-3.8981
33780,KT&G,2024-11-08,116900,119500,KOSPI,182274,2.2241,2.4045,0.6392,21,0.7624,0.6935,0.02077,43.1138,18.3046,-1.377,0.0932,30899368780.0,21,0.032995,3.26,-3.35,-1.17,0,0,-3.8981
196170,알테오젠,2024-11-08,397500,437000,KOSDAQ,210010,9.9371,5.1286,0.8833,14,1.0,1.3501,0.143569,610.5691,16.7923,-3.5799,0.1358,457788000000.0,14,0.054021,1.95,-35.93,-29.98,0,0,-9.5041
347700,스피어,2024-11-11,4340,4375,KOSDAQ,12281,0.8065,1.6004,0.4853,1,0.9964,1.4385,0.058581,168.8998,15.4403,-5.3774,0.1752,5146917397.0,895,0.081143,-10.51,-35.77,-18.17,0,0,-11.2034
267260,HD현대일렉트릭,2024-11-11,365500,390000,KOSPI,301715,6.7031,1.5746,0.8246,71,0.7041,0.8176,0.110295,411.811,26.3276,-3.4929,0.1685,149452000000.0,71,0.053114,-0.9,-14.1,-11.41,0,0,-5.0057
225190,LK삼양,2024-11-11,2793,3059,KOSDAQ,1012,9.5238,4.8403,1.0,20,1.0,0.991,0.036045,127.9434,14.9012,-5.3774,0.3314,58918388477.0,20,0.083711,2.48,-19.91,-18.86,0,0,-11.2034
1530,DI동일,2024-11-12,36458,37324,KOSPI,3812,2.3753,2.2262,0.9351,21,0.6342,0.7495,0.036411,68.1792,9.6612,-5.7294,0.0645,4288298804.0,21,0.029043,3.79,0.0,3.79,0,0,-6.8451
333430,일승,2024-11-12,4010,4490,KOSDAQ,1751,11.9701,38.7562,1.0,66,0.9435,7.9776,0.00725,68.797,58.5978,-8.179,0.4723,30014320022.0,534,0.058781,-0.45,-24.39,-18.82,0,0,-13.3592
68930,디지털대성,2024-11-13,7700,7790,KOSDAQ,2256,1.1688,2.8557,0.8889,2,1.0,1.2665,0.023303,38.6121,15.2129,-9.9427,0.0449,200892886.0,751,0.014579,0.51,-6.16,-3.72,0,0,-15.8305
105550,엣지파운드리,2024-11-14,2900,2975,KOSDAQ,1190,2.5862,9.22,0.9605,113,0.7025,2.3983,-0.004245,48.75,38.8712,-10.9142,0.1926,2313644782.0,779,0.066387,32.77,-10.42,-7.39,1,0,-16.7372
34020,두산에너빌리티,2024-11-14,22250,22450,KOSPI,554085,0.8989,2.8533,1.0,85,0.6129,1.2229,0.030853,63.6297,13.4451,-7.2985,0.0765,182115000000.0,846,0.044257,-0.22,-23.47,-20.58,0,0,-9.2289
6805,미래에셋증권우,2024-11-14,4500,5450,KOSPI,2790,21.1111,160.5615,1.0,176,1.0,16.9859,0.010262,49.1108,35.3831,-7.2985,0.2622,2578682706.0,878,0.022608,-7.52,-20.37,-14.68,0,0,-9.2289
329180,HD현대중공업,2024-11-14,216000,217500,KOSPI,576237,0.6944,1.7495,1.0,63,0.4111,1.83,0.049239,101.2026,17.5926,-7.2985,0.124,79063831600.0,63,0.052611,11.26,-4.37,7.13,1,0,-9.2289
10140,삼성중공업,2024-11-15,11870,11890,KOSPI,242440,0.1685,1.5424,0.9714,73,0.3563,2.0476,0.032076,68.6525,25.1308,-6.8224,0.1468,152129000000.0,73,0.037847,1.18,-15.98,-4.54,0,0,-9.2944
211050,인카금융서비스,2024-11-15,6270,6400,KOSDAQ,7188,2.0734,18.3309,0.7434,123,0.9941,3.3417,0.041954,140.2402,34.0014,-9.0014,0.1963,4717010830.0,123,0.05625,0.78,-9.06,-3.91,0,0,-16.1851
87010,펩트론,2024-11-15,119600,131000,KOSDAQ,66571,9.5318,1.1226,1.0,3,0.7327,0.9909,0.155387,510.2674,45.3177,-9.0014,0.3617,211667000000.0,3,0.0741,-4.05,-40.38,-18.17,0,0,-16.1851
32830,삼성생명,2024-11-18,106000,108800,KOSPI,356600,2.6415,3.4247,0.7609,170,1.0,1.0822,0.04165,81.0316,12.0914,-5.2151,0.0654,39920716600.0,170,0.031184,0.18,-9.93,-9.74,0,0,-7.3358
100840,SNT에너지,2024-11-18,15490,15710,KOSPI,8634,1.4203,7.5671,0.5486,87,0.6792,2.6363,0.054824,115.353,23.2467,-5.2151,0.1399,6534236766.0,87,0.06479,22.09,-0.25,12.92,1,0,-7.3358
204610,티쓰리,2024-11-19,1445,1459,KOSDAQ,1166,0.9689,2.7483,0.7875,19,1.0,1.0077,0.009699,42.7593,11.2869,-7.0726,0.0769,995813842.0,429,0.039557,8.91,-4.87,8.91,0,0,-15.9432
