ticker,name,market_cap,breakout_date,resistance,support,breakout_close,max_gain_20d,success,box_range_pct,breakout_strength,volume_surge,volume_dry_up,close_strength,volatility_contraction,ma20_deviation,breakout_gap,ma200_slope,pct_above_52w_low,days_since_ath,market_return,rs_vs_market,atr_ratio,liquidity
000810,삼성화재,20889064370000,2023-09-11,259000,217500,267000,2.81,0,19.0805,3.0888,1.8318,0.975,0.7692,0.3709,6.5018,0.0,2.3869,45.1087,3,-1.3268,7.9136,2.3542,15157484600
000810,삼성화재,20889064370000,2024-02-01,271000,231500,289500,17.44,1,17.0626,6.8266,4.65,1.2876,0.7424,1.4071,17.7667,1.1364,1.5663,45.3313,133,-1.7224,17.5224,2.603,20043988400
000810,삼성화재,20889064370000,2024-05-16,343000,277000,370000,2.7,0,23.8267,7.8717,3.2405,0.7042,0.8649,1.6038,21.6705,0.4458,2.778,72.093,55,3.092,24.7146,3.0695,27087349300
000810,삼성화재,20889064370000,2024-11-27,381000,327500,387500,12.26,0,16.3359,1.706,1.1369,1.2965,0.7,1.4262,9.7967,0.1351,3.2953,67.7489,152,-3.498,15.3306,3.1705,57771750100
000810,삼성화재,20889064370000,2024-12-03,397500,327500,435000,-3.1,0,21.374,9.434,1.6009,1.3214,1.0,1.8252,19.9586,1.0063,3.3414,88.3117,1,-2.9796,28.7021,3.1445,40491564000
064350,현대로템,20606064918400,2021-01-04,17200,14900,19650,23.41,1,15.4362,14.2442,9.0606,1.3486,0.8679,1.7444,20.3307,2.0349,1.4368,125.0859,258,10.0359,13.549,3.5078,29326780830
064350,현대로템,20606064918400,2021-06-01,21400,19350,21800,22.02,1,10.5943,1.8692,2.3995,0.8284,0.6471,1.5111,6.6015,0.9434,2.2064,61.4815,147,2.3511,5.8375,3.2274,34119575960
064350,현대로템,20606064918400,2021-06-04,21850,19350,22550,17.96,1,12.9199,3.2037,2.6411,1.0099,0.8621,1.6612,8.8058,-0.464,2.2147,67.037,150,1.9297,13.7113,2.7399,45978224390
064350,현대로템,20606064918400,2021-06-07,22550,19350,23800,11.76,0,16.5375,5.5432,4.2778,1.014,0.7778,1.7455,13.9983,1.9956,2.239,76.2963,153,1.7178,16.9855,2.9262,65390683140
064350,현대로템,20606064918400,2021-06-10,23950,19350,24600,8.13,0,23.7726,2.714,1.5866,1.7144,0.7727,3.0761,15.1012,2.714,2.4805,82.2222,1,1.992,19.4895,3.6585,136488328880
064350,현대로템,20606064918400,2022-06-08,20350,17800,21050,11.4,0,14.3258,3.4398,15.6567,1.4939,0.1389,1.4584,13.1873,10.1235,-2.4988,19.2635,303,0.5876,13.1962,1.9851,16274391430
064350,현대로템,20606064918400,2022-06-09,21050,17800,22850,2.63,0,18.2584,8.5511,20.3768,3.4641,0.7857,1.8376,22.0294,0.9501,-2.4873,29.4618,304,1.1122,22.4013,2.4695,46243843780
064350,현대로템,20606064918400,2023-04-20,29300,24050,31700,19.24,1,21.8295,8.1911,18.8146,1.1114,0.6882,0.8514,19.6001,0.7042,2.3438,79.6034,237,5.7179,21.0821,2.3321,51489264710
064350,현대로템,20606064918400,2024-02-22,29850,25500,34500,1.3,0,17.0588,15.5779,12.6499,1.2401,1.0,0.7966,22.0051,3.5176,-0.1523,49.6746,246,7.4905,16.6102,3.0331,33524905730
064350,현대로템,20606064918400,2024-07-23,43550,35950,46350,18.88,1,21.1405,6.4294,3.0851,2.1425,0.9579,1.2761,14.749,-0.8226,3.2774,101.0846,8,-0.0036,17.197,3.8681,115482921290
086520,에코프로,20244224263200,2019-11-04,2640,2209,2710,1.14,0,19.5111,2.6515,1.2506,1.637,0.6942,1.4904,10.5175,0.9224,0.0,23.0699,258,5.4214,13.1781,3.6347,6103995508
086520,에코프로,20244224263200,2019-12-30,2730,2209,2850,7.75,0,23.5853,4.3956,3.3259,1.581,0.6942,0.6943,12.4238,1.3187,-5.291,29.4278,314,5.2544,9.2954,2.9298,6045986299
086520,에코프로,20244224263200,2020-01-10,2913,2368,2997,18.99,1,23.0152,2.8836,2.0942,2.6636,0.6094,1.5052,12.1842,1.3045,-4.5693,36.1035,325,5.1663,11.9955,3.656,7917811041
086520,에코프로,20244224263200,2020-12-24,6089,4913,6349,34.3,1,23.9365,4.27,2.2016,1.0092,0.9228,0.6569,8.555,1.0391,6.1444,262.8,108,6.8909,9.2635,3.3155,22250521314
247540,에코프로비엠,19761747668000,2020-01-09,13219,11699,13713,43.96,1,12.9926,3.737,4.1346,1.0986,0.9237,0.9234,10.59,1.9994,0.0,24.5844,294,4.6825,5.6571,2.6127,7492755696
247540,에코프로비엠,19761747668000,2020-01-10,13713,11699,14010,62.43,1,17.2151,2.1658,4.1748,1.4465,0.6488,1.1853,12.4028,-0.9043,0.0,27.2826,295,5.1663,10.3134,3.2059,11439450288
247540,에코프로비엠,19761747668000,2020-02-03,14158,11872,15813,45.62,1,19.2554,11.6895,11.9856,1.5215,0.8505,1.2524,17.2349,-2.6547,-2.0047,43.6631,319,-2.5878,23.3346,3.7934,14573694017
247540,에코프로비엠,19761747668000,2021-06-17,48082,38619,50281,32.53,1,24.5035,4.5734,5.1997,0.9976,0.6369,0.5854,13.1269,-0.3598,1.8249,82.0258,157,3.247,12.1796,2.0782,42618796403
138040,메리츠금융지주,19553447286100,2019-05-28,14700,12800,15100,-0.66,0,14.8438,2.7211,1.8985,1.03,1.0,1.0324,7.569,-0.7042,0.0,38.5321,6,-5.9872,19.0958,2.9328,1248226580
138040,메리츠금융지주,19553447286100,2020-10-22,9640,8500,9810,9.07,0,13.4118,1.7635,3.7887,1.3003,0.9455,0.5577,6.1057,-0.1066,-2.7075,76.4388,370,-2.3773,9.24,1.6674,584664536
138040,메리츠금융지주,19553447286100,2020-11-10,9810,8910,10050,6.47,0,10.101,2.4465,1.3107,0.7788,0.8077,1.3459,5.4067,0.6135,-2.0082,80.7554,370,2.0673,4.9615,2.1962,490628076
138040,메리츠금융지주,19553447286100,2020-11-16,10100,8910,10550,0.95,0,13.3558,4.4554,3.1689,1.053,0.7273,1.6899,8.7797,0.495,-1.6032,89.7482,369,8.3644,5.1986,1.9838,990468426
