ticker,name,event_date,high_52w,event_price,market_type,market_cap,gap_pct,resistance_tests,days_since_high,momentum_5d,volume_ratio,volume_trend,volatility_contraction,atr_pct,ma_alignment,trend_strength,rs_vs_market,market_return,pct_from_52w_low,broke_through_10d,max_gain_20d,days_to_breakout
047810,한국항공우주,2024-10-22,59500,56600,KOSPI,157227.0,-4.8739,7,97,8.2218,1.9552,1.3526,0.7911,2.8773,3,1.888,5.9884,-0.3914,29.8165,1,24.73,5
005940,NH투자증권,2024-10-22,14400,13910,KOSPI,101380.0,-3.4028,27,51,1.8302,0.659,0.6915,0.4943,1.7511,4,2.0097,-0.816,-0.3914,44.1451,0,0.5,-1
012750,에스원,2024-10-22,64000,61300,KOSPI,34389.0,-4.2188,0,108,4.0747,1.4849,1.0904,0.9445,2.7033,3,-0.0979,4.2897,-0.3914,15.6604,1,7.67,7
368770,파이버프로,2024-10-22,5350,5180,KOSDAQ,5188.0,-3.1776,0,92,21.028,16.7054,2.007,1.6342,5.8949,3,0.1728,35.938,-0.1582,83.3628,0,11.2,-1
003690,코리안리,2024-10-22,7638,7468,KOSPI,25015.0,-2.2257,16,35,3.8954,0.8449,1.1179,0.834,1.8823,4,1.8628,4.1568,-0.3914,28.8475,1,9.53,1
005990,매일홀딩스,2024-10-22,8690,8390,KOSDAQ,1438.0,-3.4522,44,218,-0.2378,0.8277,1.084,0.3012,1.1238,4,0.1811,0.2775,-0.1582,12.9206,0,1.07,-1
017670,SK텔레콤,2024-10-22,59000,57500,KOSPI,158300.0,-2.5424,24,20,2.6786,1.1466,1.0693,1.1445,2.3106,3,2.7002,-1.1497,-0.3914,18.9245,0,0.87,-1
006800,미래에셋증권,2024-10-23,9200,9020,KOSPI,294317.0,-1.9565,11,160,-0.3315,0.8935,1.027,0.4782,2.344,3,5.2054,4.5209,0.241,51.0888,1,3.1,2
192400,쿠쿠홀딩스,2024-10-23,25450,24750,KOSPI,10046.0,-2.7505,5,28,8.7912,3.2561,1.6282,0.8922,2.6551,4,1.6137,5.9822,0.241,61.8705,0,1.01,-1
000140,하이트진로홀딩스,2024-10-23,9680,9250,KOSPI,2216.0,-4.4421,36,172,0.4343,1.6419,1.1166,0.6478,1.4826,3,0.6033,-1.7319,0.241,11.1779,1,10.38,3
083650,비에이치아이,2024-10-24,12170,11600,KOSDAQ,22775.0,-4.6836,0,100,14.3984,6.4834,2.5799,1.5005,5.9729,3,-2.3755,52.2033,-2.7188,82.9653,1,64.66,2
001720,신영증권,2024-10-24,86000,82300,KOSPI,30989.0,-4.3023,21,39,-1.3189,0.7797,0.6001,0.5026,2.0743,4,4.3696,4.3283,-0.8063,48.2883,0,0.85,-1
003920,남양유업,2024-10-24,64500,63500,KOSPI,3066.0,-1.5504,0,194,9.6718,5.2544,1.761,0.851,1.8223,3,0.7847,12.9971,-0.8063,45.4754,1,13.39,1
012330,현대모비스,2024-10-25,270000,256500,KOSPI,396501.0,-5.0,0,147,4.908,4.2676,1.5003,1.2598,3.0493,2,-0.5186,15.5867,-1.8395,29.5455,0,2.73,-1
086790,하나금융지주,2024-10-25,69300,66500,KOSPI,340114.0,-4.0404,4,37,1.372,2.4701,0.999,0.7923,3.3405,4,-0.0134,13.4167,-1.8395,70.7317,0,1.5,-1
086980,쇼박스,2024-10-25,4545,4340,KOSDAQ,1685.0,-4.5105,0,159,7.8261,0.9806,0.9389,1.1075,3.4727,3,4.8937,22.5022,-5.2049,67.5676,1,16.36,6
138930,BNK금융지주,2024-10-25,10340,9910,KOSPI,61134.0,-4.1586,16,38,1.5369,2.611,0.9547,0.6469,2.7245,3,2.8524,4.6403,-1.8395,47.69,0,1.01,-1
003300,한일홀딩스,2024-10-25,14570,13980,KOSPI,5017.0,-4.0494,25,37,5.1128,6.1399,1.2503,0.9245,1.589,3,-0.0195,2.415,-1.8395,32.3864,0,4.15,-1
00680K,미래에셋증권2우B,2024-10-25,4170,4030,KOSPI,23208.0,-3.3573,17,166,-0.3708,1.9387,0.9347,0.3801,1.3648,3,2.5433,4.6456,-1.8395,16.8116,0,3.47,-1
007160,사조산업,2024-10-28,75600,72800,KOSPI,3200.0,-3.7037,1,47,17.0418,16.7943,2.0366,1.3311,4.2092,4,11.3225,16.4213,0.6205,106.8182,1,8.52,6
009680,모토닉,2024-10-28,8980,8650,KOSPI,2937.0,-3.6748,48,78,-0.1155,0.5317,0.7989,0.644,1.3625,3,0.0,-1.7634,0.6205,9.0794,0,1.16,-1
030190,NICE평가정보,2024-10-29,11630,11270,KOSPI,10251.0,-3.0954,10,113,1.0762,0.41,0.662,0.9038,3.0422,3,0.9924,10.5869,-2.0127,40.3487,1,6.21,5
017800,현대엘리베이터,2024-10-29,48900,46700,KOSPI,40695.0,-4.499,0,231,5.6561,2.6333,0.9892,0.9601,2.5772,4,0.7486,8.7555,-2.0127,24.3675,1,13.92,8
016360,삼성증권,2024-10-29,48900,47150,KOSPI,85371.0,-3.5787,27,40,-1.2565,0.6702,0.9033,0.2974,2.3027,4,1.7192,9.0501,-2.0127,34.3305,0,0.74,-1
052330,코텍,2024-10-29,8130,8120,KOSDAQ,1812.0,-0.123,24,115,3.3079,1.4484,0.9168,0.455,1.9792,4,3.038,8.5945,-4.4919,34.4371,1,4.43,1
259960,크래프톤,2024-10-29,355000,345000,KOSPI,116850.0,-2.8169,23,42,1.3216,0.6772,0.7595,0.6489,3.0538,4,6.2286,2.5958,-2.0127,128.6282,0,2.17,-1
003545,대신증권우,2024-10-29,16460,15670,KOSPI,6331.0,-4.7995,5,149,0.2559,0.9816,0.9948,0.1205,0.5424,4,0.9646,3.371,-2.0127,18.9825,0,0.19,-1
267250,HD현대,2024-10-29,85000,81300,KOSPI,193533.0,-4.3529,34,56,0.7435,0.6105,0.8526,0.7775,2.6094,3,1.0811,0.2011,-2.0127,42.8822,0,0.25,-1
035250,강원랜드,2024-10-30,18610,17700,KOSPI,39365.0,-4.8898,5,33,9.0573,2.3509,1.0953,0.95,2.1751,3,5.7017,5.6218,-2.113,32.7832,0,2.26,-1
003800,에이스침대,2024-10-30,28700,27350,KOSDAQ,4076.0,-4.7038,16,108,0.1832,1.3176,0.7338,0.7148,2.1416,3,1.8125,3.2455,-4.687,16.8803,0,2.74,-1
066620,국보디자인,2024-10-31,17440,16730,KOSDAQ,1680.0,-4.0711,33,22,2.638,1.6146,1.4795,1.033,2.3311,3,1.2073,2.0134,-2.7256,32.3576,1,4.9,5
003540,대신증권,2024-10-31,18100,17200,KOSPI,18025.0,-4.9724,1,152,2.0772,2.4912,1.4075,0.5533,1.7193,4,-0.2719,6.9529,-1.4314,24.7281,0,0.7,-1
065710,서호전기,2024-10-31,22050,21650,KOSDAQ,2673.0,-1.8141,20,117,-0.2304,0.8748,0.7113,0.3357,1.2867,4,3.1148,5.8208,-2.7256,22.2473,0,5.54,-1
000640,동아쏘시오홀딩스,2024-10-31,124827,120845,KOSPI,7125.0,-3.19,23,38,1.8002,1.2721,0.7268,0.6688,3.0432,3,3.0887,7.4842,-1.4314,40.0907,0,2.01,-1
032830,삼성생명,2024-11-01,108500,103800,KOSPI,395400.0,-4.3318,0,158,2.0649,1.0099,0.8271,0.6569,2.4016,4,2.3826,15.1978,-0.7546,73.0,0,6.94,-1
060980,HL홀딩스,2024-11-01,36750,35150,KOSPI,4188.0,-4.3537,27,179,-0.5658,1.415,0.8287,0.531,1.453,3,1.6028,0.0484,-0.7546,12.1212,0,2.28,-1
032640,LG유플러스,2024-11-01,10550,10040,KOSPI,68859.0,-4.8341,3,206,0.8032,0.5825,0.8128,0.5867,1.0102,2,-0.1709,4.2597,-0.7546,5.5731,0,19.62,-1
025540,한국단자,2024-11-01,81400,77900,KOSPI,7526.0,-4.2998,1,50,5.9864,2.6218,1.278,0.925,3.7411,4,5.0153,13.1644,-0.7546,45.6075,0,3.98,-1
244920,에이플러스에셋,2024-11-01,4530,4455,KOSPI,3136.0,-1.6556,3,49,8.5262,5.26,1.7924,0.6647,2.1405,4,1.5451,6.826,-0.7546,26.0255,1,7.74,1
094800,맵스리얼티,2024-11-01,4625,4530,KOSPI,5440.0,-2.0541,46,20,0.1105,1.17,1.2689,0.3382,1.0564,3,1.7963,-0.8741,-0.7546,17.8153,0,0.11,-1
034950,한국기업평가,2024-11-01,89800,85500,KOSDAQ,4441.0,-4.7884,25,107,-0.1168,0.4985,0.7641,0.503,1.2531,2,-0.5306,6.0052,-4.3405,17.1233,0,4.56,-1
005945,NH투자증권우,2024-11-04,12250,12000,KOSPI,4463.0,-2.0408,58,154,-0.2494,1.2056,0.8128,0.1024,0.7202,4,0.7744,0.0908,0.7495,33.3333,0,1.25,-1
035000,HS애드,2024-11-04,6600,6480,KOSPI,1384.0,-1.8182,50,108,1.25,0.6561,0.8246,0.7555,1.0362,3,0.5229,0.8179,0.7495,10.3918,0,1.08,-1
069510,에스텍,2024-11-04,11600,11190,KOSDAQ,1636.0,-3.5345,5,44,2.5665,2.4403,1.1019,0.3735,1.666,4,3.8578,5.5487,-1.9376,39.1791,0,2.06,-1
376300,디어유,2024-11-05,39500,39200,KOSDAQ,10172.0,-0.7595,0,168,24.4444,5.3156,1.3596,1.7304,6.2864,2,2.054,96.8422,-3.7387,122.2222,1,7.02,1
298040,효성중공업,2024-11-05,469000,450000,KOSPI,218847.0,-4.0512,0,107,11.1111,1.0103,1.1291,0.5689,4.127,3,5.3761,24.4024,-1.2833,188.2767,1,15.11,1
005990,매일홀딩스,2024-11-05,8690,8360,KOSDAQ,1438.0,-3.7975,43,228,-0.3576,0.5474,1.4896,1.1093,0.9997,3,0.2311,3.9786,-3.7387,12.5168,0,2.27,-1
179290,엠아이텍,2024-11-05,9270,8810,KOSDAQ,2402.0,-4.9622,0,116,4.5077,1.1396,0.8628,0.9043,4.6214,3,5.8818,13.4523,-3.7387,66.5406,0,2.04,-1
003350,한국화장품제조,2024-11-05,89400,85600,KOSPI,2425.0,-4.2506,0,39,14.7453,1.0831,1.0264,0.8045,5.7827,4,7.6775,6.5724,-1.2833,292.6606,0,-0.23,-1
017670,SK텔레콤,2024-11-05,59000,56500,KOSPI,158300.0,-4.2373,34,30,-1.2238,0.6423,0.8871,0.4676,1.8205,4,1.9762,1.1067,-1.2833,16.8563,0,9.56,-1
002960,한국쉘석유,2024-11-06,354500,338000,KOSPI,5870.0,-4.6544,4,62,4.644,1.742,1.4552,0.6176,1.3948,3,0.3838,7.6458,-1.1891,51.5695,0,4.59,-1
